"","FIPS","name","t_lhs","moe_lhs","t_hs","moe_hs","t_asd","moe_asd","t_ba","moe_ba"
"3","1001","Autauga County, Alabama","21.1","4.1","37.7","5.2","36.8","5.3","4.4","2.5"
"4","1003","Baldwin County, Alabama","20.7","3.4","32.3","3.9","38.4","3.5","8.5","2.3"
"5","1005","Barbour County, Alabama","24.3","5.4","35.7","7.4","37.1","7.0","2.9","2.7"
"6","1007","Bibb County, Alabama","27.0","9.0","33.2","7.8","38.2","8.3","1.6","1.9"
"7","1009","Blount County, Alabama","24.3","4.8","34.6","5.5","38.7","4.9","2.4","1.5"
"8","1011","Bullock County, Alabama","20.0","7.9","53.8","13.1","26.3","10.7","0.0","2.6"
"9","1013","Butler County, Alabama","22.0","6.0","32.8","7.7","43.2","8.2","1.9","2.1"
"10","1015","Calhoun County, Alabama","15.8","2.6","30.3","3.6","49.6","4.0","4.3","1.1"
"11","1017","Chambers County, Alabama","13.8","3.5","46.8","6.6","35.6","6.0","3.9","2.2"
"12","1019","Cherokee County, Alabama","21.1","6.9","35.2","7.0","39.6","7.9","4.0","3.2"
"13","1021","Chilton County, Alabama","14.2","4.2","42.9","5.9","39.5","6.2","3.4","1.7"
"14","1023","Choctaw County, Alabama","21.0","6.8","42.3","9.6","34.5","7.5","2.1","3.0"
"15","1025","Clarke County, Alabama","24.6","5.9","53.7","8.1","20.6","5.7","1.2","1.3"
"16","1027","Clay County, Alabama","15.1","8.6","36.6","13.4","40.6","11.1","7.8","6.9"
"17","1029","Cleburne County, Alabama","19.9","7.7","37.6","10.7","37.2","12.3","5.2","6.3"
"18","1031","Coffee County, Alabama","19.6","4.3","28.9","4.3","43.8","5.1","7.8","2.5"
"19","1033","Colbert County, Alabama","21.4","4.0","31.2","5.5","45.6","5.2","1.8","1.1"
"20","1035","Conecuh County, Alabama","26.8","9.1","43.6","10.4","27.0","9.2","2.6","2.8"
"21","1037","Coosa County, Alabama","19.1","8.0","25.8","10.5","55.1","12.4","0.0","3.3"
"22","1039","Covington County, Alabama","23.7","6.2","38.1","5.1","33.9","5.9","4.3","2.9"
"23","1041","Crenshaw County, Alabama","26.9","8.9","32.5","7.9","34.0","6.5","6.7","3.7"
"24","1043","Cullman County, Alabama","21.4","3.4","29.5","4.3","46.5","4.4","2.5","1.1"
"25","1045","Dale County, Alabama","18.0","3.9","41.1","5.9","33.6","4.4","7.4","2.7"
"26","1047","Dallas County, Alabama","22.0","4.9","38.3","6.1","37.8","6.5","2.0","1.4"
"27","1049","DeKalb County, Alabama","24.4","4.5","32.0","4.0","40.5","5.0","3.1","1.2"
"28","1051","Elmore County, Alabama","23.1","4.0","35.8","4.2","34.5","4.3","6.5","2.3"
"29","1053","Escambia County, Alabama","33.8","7.0","32.7","6.7","30.6","5.6","2.9","1.4"
"30","1055","Etowah County, Alabama","21.1","3.0","31.5","3.7","43.5","3.6","3.9","1.5"
"31","1057","Fayette County, Alabama","13.9","6.4","33.7","8.0","48.1","8.7","4.3","3.5"
"32","1059","Franklin County, Alabama","26.6","6.1","31.1","6.8","40.2","7.7","2.1","2.1"
"33","1061","Geneva County, Alabama","26.2","6.3","36.3","6.0","35.6","7.3","1.9","1.6"
"34","1063","Greene County, Alabama","18.5","11.1","42.6","14.2","37.9","16.5","1.0","1.5"
"35","1065","Hale County, Alabama","22.2","5.9","44.7","8.7","31.4","8.0","1.7","2.0"
"36","1067","Henry County, Alabama","17.5","6.4","44.0","11.4","29.3","9.7","9.1","5.0"
"37","1069","Houston County, Alabama","19.2","1.8","36.6","2.2","38.9","2.6","5.3","0.9"
"38","1071","Jackson County, Alabama","24.2","4.7","29.2","4.3","43.1","5.5","3.5","2.0"
"39","1073","Jefferson County, Alabama","15.3","1.1","28.1","1.4","46.5","1.7","10.2","1.0"
"40","1075","Lamar County, Alabama","33.3","8.1","29.8","11.3","35.1","9.1","1.7","2.1"
"41","1077","Lauderdale County, Alabama","12.4","2.8","25.0","3.4","57.0","4.2","5.6","1.6"
